condition,k,cut,endpoint,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
manual,4,0.2,terminal_singleton_fraction,seed_context_t025,seed_equal,abs_error,46,15,-4.125209066337528e-05,-0.00011062402791343144,6.1696644898247e-05,4.99210196453463e-05
manual,4,0.2,terminal_singleton_fraction,seed_person_t025,seed_equal,abs_error,46,15,-0.00020129936754370906,-0.000450258754671388,5.4141434577959145e-06,-0.00015139581720138146
manual,4,0.2,terminal_singleton_fraction,seed_type4,seed_equal,abs_error,46,15,-0.0003991156701202668,-0.0008420372445741585,-6.274934387653381e-05,-0.000463548348184363
manual,4,0.2,terminal_singleton_fraction,selected_mixture,seed_equal,abs_error,46,15,-0.011041577985418305,-0.01495199854150287,-0.006886588601050219,-0.012604908856875386
manual,4,0.2,terminal_supported,seed_context_t025,seed_equal,abs_error,46,15,0.00033967391304347825,-0.0020161290322580645,0.002130681818181818,-0.0014756944444444446
manual,4,0.2,terminal_supported,seed_person_t025,seed_equal,abs_error,46,15,0.0033967391304347825,-0.00025201612903225806,0.0077473958333333145,0.0027777777777777775
manual,4,0.2,terminal_supported,seed_type4,seed_equal,abs_error,46,15,0.008491847826086956,0.0023137019230769235,0.015625,0.009461805555555555
manual,4,0.2,terminal_supported,selected_mixture,seed_equal,abs_error,46,15,-0.1402853260869565,-0.2880498138714734,-0.017200816761363688,-0.13784722222222223
manual,4,0.2,terminal_within,seed_context_t025,seed_equal,abs_error,46,15,-3.9844414052798056e-05,-0.0002136297308875393,0.00014549259341546927,3.821458594453956e-05
manual,4,0.2,terminal_within,seed_person_t025,seed_equal,abs_error,46,15,1.8559471314089966e-05,-0.00022593865432867424,0.00028963339461079144,0.00011571908945009483
manual,4,0.2,terminal_within,seed_type4,seed_equal,abs_error,46,15,0.0005368967423289033,0.00015109417572502017,0.0009668973352098565,0.0007045632646823817
manual,4,0.2,terminal_within,selected_mixture,seed_equal,abs_error,46,15,-0.0050057226617914955,-0.0065004092535569605,-0.003613769225630128,-0.004850905515263174
manual,8,0.05,diagnostic_stable100,seed_context_t025,seed_equal,abs_error,46,15,-0.02309782608695652,-0.03635812847866419,-0.0036811755952381054,-0.01740056818181818
manual,8,0.05,diagnostic_stable100,seed_person_t025,seed_equal,abs_error,46,15,-0.04721467391304348,-0.057052309064482026,-0.031418678977272775,-0.04008049242424242
manual,8,0.05,diagnostic_stable100,seed_type4,seed_equal,abs_error,46,15,-0.09307065217391304,-0.12089879798818752,-0.06047850473801561,-0.06596433080808081
manual,8,0.05,diagnostic_stable100,selected_mixture,seed_equal,abs_error,46,15,-0.2554347826086957,-0.29056960674894955,-0.20475429518398275,-0.22419507575757577
manual,8,0.05,diagnostic_stable80,seed_context_t025,seed_equal,abs_error,46,15,-0.0020380434782608695,-0.008928571428571428,0.002256556919642851,-0.005279356060606061
manual,8,0.05,diagnostic_stable80,seed_person_t025,seed_equal,abs_error,46,15,-0.002377717391304348,-0.0087890625,0.0013911190711462366,-0.00657354797979798
manual,8,0.05,diagnostic_stable80,seed_type4,seed_equal,abs_error,46,15,-0.005095108695652174,-0.014125504032258065,0.0006127450980392157,-0.013265467171717171
manual,8,0.05,diagnostic_stable80,selected_mixture,seed_equal,abs_error,46,15,-0.17900815217391305,-0.21584483225108225,-0.14339420345279721,-0.19443655303030302
manual,8,0.05,diagnostic_stable_multimode80,seed_context_t025,seed_equal,abs_error,46,15,-0.0020380434782608695,-0.01003104967948718,0.0038000046193643723,-0.005721275252525253
manual,8,0.05,diagnostic_stable_multimode80,seed_person_t025,seed_equal,abs_error,46,15,-0.002377717391304348,-0.01319110576923077,0.004782869983277585,-0.00726010101010101
manual,8,0.05,diagnostic_stable_multimode80,seed_type4,seed_equal,abs_error,46,15,-0.015285326086956522,-0.03448936903697078,-0.0036510970744680865,-0.02221433080808081
manual,8,0.05,diagnostic_stable_multimode80,selected_mixture,seed_equal,abs_error,46,15,-0.1766304347826087,-0.21569481382978722,-0.13973030252659577,-0.19373421717171715
manual,8,0.05,half_count_tv,seed_context_t025,seed_equal,abs_error,46,15,-0.0002152983640755352,-0.0014427069727446825,0.0011683313397129185,0.00010596016988062656
manual,8,0.05,half_count_tv,seed_person_t025,seed_equal,abs_error,46,15,-0.0009274127140974938,-0.002759870208656166,0.000997692857090525,-0.0015182004706152396
manual,8,0.05,half_count_tv,seed_type4,seed_equal,abs_error,46,15,-0.001590977711901622,-0.0037791982323232324,0.00040660557783719415,-0.003561610422405875
manual,8,0.05,half_count_tv,selected_mixture,seed_equal,abs_error,46,15,-0.01939812527448397,-0.025506437087030875,-0.011762680806224012,-0.020052788777930815
