image_id,building,condition,cut,scene,replay,rule,state,onset,tail_first_k,late_new_geometry,late_support_promotions,tail_max_TV
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,78,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,81,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,82,G10_geometry,current_changes,4.0,2,1,1,0.4
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,83,G10_geometry,current_changes,4.0,2,1,1,0.6
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,87,G10_geometry,current_changes,4.0,2,1,1,0.6
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,89,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,91,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,92,G10_geometry,current_changes,4.0,2,1,1,0.6
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,93,G10_geometry,current_changes,4.0,2,1,1,0.4
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,95,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,96,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,97,G10_geometry,current_changes,4.0,2,1,1,0.6
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,98,G10_geometry,current_changes,4.0,2,1,1,0.4
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,9,G10_geometry,current_changes,18.0,17,0,0,0.05
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,19,G10_geometry,current_changes,19.0,17,0,0,0.00882352941176
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,22,G10_geometry,current_changes,19.0,17,0,0,0.00882352941176
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,30,G10_geometry,current_changes,18.0,17,0,0,0.00882352941176
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,35,G10_geometry,current_changes,19.0,17,0,0,0.00882352941176
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,51,G10_geometry,current_changes,18.0,17,0,0,0.00882352941176
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,66,G10_geometry,current_changes,19.0,17,0,0,0.05
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,72,G10_geometry,current_changes,19.0,17,0,0,0.05
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,75,G10_geometry,current_changes,18.0,17,0,0,0.05
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,78,G10_geometry,current_changes,18.0,17,0,0,0.00882352941176
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,93,G10_geometry,current_changes,18.0,17,0,0,0.05
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,95,G10_geometry,current_changes,18.0,17,0,0,0.00882352941176
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,manual,0.1,卫浴,2,G10_geometry,current_changes,22.0,20,1,0,0.0434782608696
