condition,metric,partition,nominal_cut,k,images,buildings,next_uncovered,fixed_expected_clusters,fixed_unseen_pool_mass,minority_unseen_mass
manual,image,complete,12,12,45,14,0.22157924263658546,5.0019301297158343,0.11865640721046269,0.025012428440921455
manual,image,complete,12,13,45,14,0.2149567671493009,5.2519057963352846,0.1041331744462798,0.019389123681509156
manual,image,complete,12,14,45,14,0.20897816878949377,5.4934503414969607,0.090683467104953216,0.014679234062314649
manual,image,complete,12,15,45,14,0.20354675374529999,5.7274071196099738,0.078153622910606332,0.010793275477833517
manual,image,complete,12,16,45,14,0.19858507450780974,5.9544941603451047,0.066419775788134711,0.007648369158722839
manual,image,complete,12,17,45,14,0.1940304721692975,6.1753304741138457,0.055380331281607589,0.0051682416718011708
manual,image,complete,12,18,45,14,0.1898319690310537,6.390455552583699,0.044950612871994838,0.0032832249200485477
manual,image,representative,6,1,45,14,0.6752163823407149,0.99999999999999989,0.60624786943294451,0.15593513940020323
manual,image,representative,6,2,45,14,0.56776655767053752,1.6338519809991972,0.49057041389233402,0.13798154670432819
manual,image,representative,6,3,45,14,0.51070272142634954,2.1713418809495,0.42728566999586237,0.12150699710921116
manual,image,representative,6,4,45,14,0.47318449393179052,2.6630350005923202,0.38165137461658288,0.10643097514443386
manual,image,representative,6,5,45,14,0.44557642178676865,3.1254430596715346,0.34465514797185925,0.092675984105326334
manual,image,representative,6,6,45,14,0.42387929232076038,3.5663311900355916,0.31285477624559477,0.080167546052966832
manual,image,representative,6,7,45,14,0.40607309163485406,3.9901876496795063,0.28455240496804329,0.0688342018141819
manual,image,representative,6,8,45,14,0.39099141975583396,4.3999061732718117,0.25878577235744676,0.058607510981546332
manual,image,representative,6,9,45,14,0.37789897224814439,4.7974850743026138,0.2349608583426763,0.049422051913383225
manual,image,representative,6,10,45,14,0.36630508993938349,5.1843745216709278,0.21268761964246916,0.041215421733763885
manual,image,representative,6,11,45,14,0.35586933735596632,5.5616680231977274,0.19169715014055957,0.033928236332507945
manual,image,representative,6,12,45,14,0.34634840569028658,5.9302156176284582,0.1717967114794979,0.027504130365183267
manual,image,representative,6,13,45,14,0.33756414462016388,6.29069477219576,0.15284388840336258,0.021889757253105987
manual,image,representative,6,14,45,14,0.32938353789612373,6.6436572746504554,0.13473084212495115,0.017034789183340514
manual,image,representative,6,15,45,14,0.32170584245841122,6.9895617626890347,0.11737413056140814,0.012891917108699517
manual,image,representative,6,16,45,14,0.31445412661054067,7.328797123484609,0.10070778079821362,0.0094168507477439337
manual,image,representative,6,17,45,14,0.30756950016675416,7.6616997625083059,0.084678386066268929,0.0065683185847829669
manual,image,representative,6,18,45,14,0.3010069310298143,7.9885666075597426,0.069241524960415579,0.0043080678698740865
manual,image,representative,9,1,45,14,0.56087583546774999,0.99999999999999989,0.4995704574140819,0.1279874096887009
manual,image,representative,9,2,45,14,0.45722130757240909,1.5224366508424485,0.39624489994061923,0.11178410154905605
manual,image,representative,9,3,45,14,0.40753546275162011,1.9567941259669623,0.34221299310371539,0.09712637420644403
manual,image,representative,9,4,45,14,0.37525030326641134,2.350885033978765,0.30323759432900221,0.083910258112959782
manual,image,representative,9,5,45,14,0.35137867866252126,2.7186668237628444,0.27185253477322247,0.072036199721618108
manual,image,representative,9,6,45,14,0.33254776083128934,3.0669010257178249,0.24518627450810354,0.061409061486353722
manual,image,representative,9,7,45,14,0.31709480994602368,3.3996618118092523,0.22176548058333503,0.051938121862021291
manual,image,representative,9,8,45,14,0.30406089853222712,3.7196688485233373,0.20072504231689237,0.043537075304395385
manual,image,representative,9,9,45,14,0.29283699622742565,4.0288577584303793,0.18151418073114059,0.036124032270170491
manual,image,representative,9,10,45,14,0.28301156242108366,4.3286730693514919,0.16376063455549097,0.029621519216961021
manual,image,representative,9,11,45,14,0.27429459453531779,4.620233688212779,0.14720000209126721,0.023956478603301301
manual,image,representative,9,12,45,14,0.26647547727213006,4.9044315287968541,0.1316368845812135,0.019060268888645582
manual,image,representative,9,13,45,14,0.25939764930465786,5.1819932821690573,0.11692250502631259,0.014868664533368027
manual,image,representative,9,14,45,14,0.2529424084853259,5.4535212552379511,0.10294103501315184,0.011321855998762721
manual,image,representative,9,15,45,14,0.24701808271097545,5.7195217758416046,0.08960068967983234,0.0083644497470436608
manual,image,representative,9,16,45,14,0.24155258643996472,5.9804257429420078,0.076827607453761465,0.0059454682413447747
manual,image,representative,9,17,45,14,0.23648821585511134,6.2366039219700546,0.064561476534707507,0.0040183499457198991
manual,image,representative,9,18,45,14,0.23177789665203852,6.4883785881039886,0.052752315571627496,0.0025409493251427953
manual,image,representative,12,1,45,14,0.50049333552003261,1,0.44618771331029877,0.12105260785016109
manual,image,representative,12,2,45,14,0.40437630810516351,1.4666483659008451,0.34762451807647721,0.10534261335324346
manual,image,representative,12,3,45,14,0.35805232989342561,1.8477511450226489,0.29550203531727831,0.091193095723245146
manual,image,representative,12,4,45,14,0.32703339278988763,2.1881066776925349,0.25795790032145044,0.078493481874133936
manual,image,representative,12,5,45,14,0.30379300238074414,2.5010484972020848,0.22811692198696806,0.067137973405185153
manual,image,representative,12,6,45,14,0.28538647890018642,2.7933538119498547,0.20320653393734026,0.057025546600981643
manual,image,representative,12,7,45,14,0.27029053978979944,3.0692467667123298,0.18177507932630413,0.048059952431413734
