image_id,building,condition,kind,n,k,half_TV,half_within_geometry,half_future_coverage,late_new_geometry,late_support_promotions,full_within_geometry
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,manual,not_supported_multimodal,5,3,0.165333333333,0.0605481482237,1,0,0,0.0572270208612
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,semi,not_supported_multimodal,5,3,0,0.0689509928965,1,0,0,0.0764048005976
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,manual,not_supported_multimodal,5,3,0.154,0.0581783618388,1,0,0,0.0389265898881
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,semi,mixed_point_and_geometry_multimodal,24,12,0.131666666667,0.0463704542555,0.793333333333,0.0183333333333,0.06,0.052959413473
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,mixed_point_and_geometry_multimodal,24,12,0.334166666667,0.063309780634,0.205833333333,0.469166666667,0.235833333333,0.0871762142653
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,mixed_point_and_geometry_multimodal,24,12,0.183333333333,0.0432592893213,0.735833333333,0.1775,0.114166666667,0.0539616819327
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,manual,not_supported_multimodal,5,3,0.164666666667,0.0363535955799,0.765,0.235,0,0.038521104419
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,manual,same_point_only_multimodal,6,3,0.206666666667,0.0633866744729,0.11,0.103333333333,0.736666666667,0.0819055444125
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,manual,not_supported_multimodal,6,3,0,0.0497802446872,1,0,0,0.051944120064
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,e9zR4mvMWw7,semi,mixed_point_and_geometry_multimodal,24,12,0.09,0.0347889188731,0.879166666667,0.00833333333333,0.0966666666667,0.0542998339207
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,manual,same_point_only_multimodal,6,3,0.146666666667,0.0348246023578,0.456666666667,0.0833333333333,0.333333333333,0.0588937468657
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,semi,same_point_only_multimodal,24,12,0.0641666666667,0.0337815217811,0.9625,0,0.0541666666667,0.0440337513875
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,e9zR4mvMWw7,semi,same_point_only_multimodal,24,12,0.0945833333333,0.0437828799667,0.9325,0.0358333333333,0.0566666666667,0.0673255003112
