image_id,building,condition,cut,scene,n_valid,n_modes,n_supported_modes,supported_mass,singleton_mass,largest_share,topology_disagreement,same_topology_between_mode_pair_fraction,within_mode_mean_d,between_mode_same_topology_mean_d,within_mode_median_d,within_mode_max_median_d,within_mode_macro_median_d,same_topology_median_d,mode_entropy,topology_entropy,supported_topologies,supported_minority_modes,same_topology_multimodality,n_observed,n_invalid,stages,contexts,imputed_responses,late_new,late_promotions,later_repartition,n_singletons,naive_many_modes,scene_category,main_function_primary
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,manual,0.05,复合／待定,3,2,1,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0,0.0243538101763,,0.0243538101763,0.0243538101763,0.0243538101763,0.0243538101763,0.918295834054,0.918295834054,1,0,False,4,1,C2-A-RP,2,0,0.5,0.5,0,1,False,复合／待定,empty
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,manual,0.1,复合／待定,3,2,1,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0,0.0243538101763,,0.0243538101763,0.0243538101763,0.0243538101763,0.0243538101763,0.918295834054,0.918295834054,1,0,False,4,1,C2-A-RP,2,0,0.5,0.5,0,1,False,复合／待定,empty
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,manual,0.2,复合／待定,3,2,1,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0,0.0243538101763,,0.0243538101763,0.0243538101763,0.0243538101763,0.0243538101763,0.918295834054,0.918295834054,1,0,False,4,1,C2-A-RP,2,0,0.5,0.5,0,1,False,复合／待定,empty
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,S9hNv5qa7GM,manual,0.05,通行与连接,1,1,0,0,1,1,,,,,,,,,-0,-0,0,0,False,1,0,C2-B,1,0,0,0,0,1,False,通行与连接,circulation
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,S9hNv5qa7GM,manual,0.1,通行与连接,1,1,0,0,1,1,,,,,,,,,-0,-0,0,0,False,1,0,C2-B,1,0,0,0,0,1,False,通行与连接,circulation
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,S9hNv5qa7GM,manual,0.2,通行与连接,1,1,0,0,1,1,,,,,,,,,-0,-0,0,0,False,1,0,C2-B,1,0,0,0,0,1,False,通行与连接,circulation
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM,manual,0.05,卫浴,2,2,0,0,1,0.5,0,1,,0.0676319616488,,,,0.0676319616488,1,-0,0,0,False,2,0,C2-B,1,0,1,0,0,2,False,卫浴,bathroom
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM,manual,0.1,卫浴,2,1,1,1,0,1,0,0,0.0676319616488,,0.0676319616488,0.0676319616488,0.0676319616488,0.0676319616488,-0,-0,1,0,False,2,0,C2-B,1,0,0,1,0,0,False,卫浴,bathroom
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM,manual,0.2,卫浴,2,1,1,1,0,1,0,0,0.0676319616488,,0.0676319616488,0.0676319616488,0.0676319616488,0.0676319616488,-0,-0,1,0,False,2,0,C2-B,1,0,0,1,0,0,False,卫浴,bathroom
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.05,卧室,20,4,3,0.95,0.05,0.4,0,0.721052631579,0.023612197034,0.0477259187477,0.0232808955335,0.0281053872506,0.0230850100385,0.0376011871379,1.76595732095,-0,1,0,True,20,0,C2-B,1,0,0.007,0.074,0.0402859053056,1,False,卧室,sleep
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.1,卧室,20,2,1,0.95,0.05,0.95,0,0.1,0.0368277591163,0.0785447632819,0.0360594464715,0.0360594464715,0.0360594464715,0.0376011871379,0.286396957116,-0,1,0,False,20,0,C2-B,1,0,0,0.012,0.0151645738163,1,False,卧室,sleep
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,0.2,卧室,20,1,1,1,0,1,0,0,0.0409994595328,,0.0376011871379,0.0376011871379,0.0376011871379,0.0376011871379,-0,-0,1,0,False,20,0,C2-B,1,0,0,0,0,0,False,卧室,sleep
